scan_type,n_regressors,prob,b0,b1,b2,b3,resid_se,r_squared,n_T_points,T_min,T_max,power_used
fw,1,0.01,-5.15266552231614,-6.17410897758021,1258.75844605156,,1.46277547013432,0.725992609091434,12,50,1000,2
fw,1,0.05,-4.58057686765635,23.2257199988958,44.8704378822383,,1.55914459901758,0.948555971399714,12,50,1000,2
fw,1,0.1,-4.31675696299039,52.0841594529487,-2725.88888805262,88041.3286046645,1.06014245370852,0.992680870478949,12,50,1000,3
fw,2,0.01,-5.61370972531336,-3.93452174059253,1133.55154274267,,1.14923627785938,0.910193467963941,12,50,1000,2
fw,2,0.05,-5.05192258721952,22.4106079292211,49.4917611250457,,1.11217232071089,0.980616888476398,12,50,1000,2
fw,2,0.1,-4.77764800931987,32.2190069750541,-142.875218602274,,0.983667340651916,0.991908167584143,12,50,1000,2
fw,3,0.01,-6.14687292123255,61.2684340115812,-6527.8152593107,227365.898420164,1.05821084570505,0.866696272309486,12,50,1000,3
fw,3,0.05,-5.5088035766397,48.1409754794459,-4391.93220111759,165268.098431054,0.530995317991622,0.993634275923198,12,50,1000,3
fw,3,0.1,-5.21114871744507,48.023472108998,-3445.85339562767,130748.302633315,1.15474375183,0.990292858380437,12,50,1000,3
fw,4,0.01,-6.42598678384076,5.51485125192746,526.345323012243,,1.12944660378974,0.829448158284717,12,50,1000,2
fw,4,0.05,-5.83334755110736,13.9269314916409,424.182880486066,,0.966948317329727,0.977584214613702,12,50,1000,2
fw,4,0.1,-5.54921142310978,19.5185538070798,435.564519282369,,0.726101708518739,0.99510924038392,12,50,1000,2
fw,5,0.01,-6.73001691082802,-2.86621170530273,811.487121473747,,0.914281559247136,0.874706238447462,12,50,1000,2
fw,5,0.05,-6.16706842985713,7.61216450868054,743.952692255917,,0.577705063750523,0.99186344022583,12,50,1000,2
fw,5,0.1,-5.886740014321,15.3764108671252,563.453854748346,,0.756493376298651,0.995816390764951,12,50,1000,2
fw,6,0.01,-7.08895017816072,-2.72694782098391,822.218326541884,,0.899930399267479,0.857073505150092,12,50,1000,2
fw,6,0.05,-6.49747827709171,22.4445033760273,-1256.04742945607,63253.4197894319,0.306619361040416,0.998315661291294,12,50,1000,3
fw,6,0.1,-6.21013765019612,31.263105252788,-1865.49882289321,82214.5928975147,0.839730072423041,0.993841177280659,12,50,1000,3
bw,1,0.01,-5.55202305179901,14.638692171897,490.45431103957,,0.624605907120699,0.973167216581699,12,50,1000,2
bw,1,0.05,-5.01119623979925,51.5108789718087,-2992.98422774429,112553.186073296,0.539734861462516,0.997341382593569,12,50,1000,3
bw,1,0.1,-4.74118906303713,59.2743788068082,-3063.35149718572,113892.050234079,0.69450587800923,0.998402260587703,12,50,1000,3
bw,2,0.01,-5.95512708835445,6.17889018410544,1045.77479919577,,0.822057476014541,0.948489713331601,12,50,1000,2
bw,2,0.05,-5.42527293581625,44.6505896126,-2563.41574674482,105888.40468051,0.53803130007218,0.997267728451836,12,50,1000,3
bw,2,0.1,-5.15781591999253,54.5627904041075,-2804.0408530258,108324.782290419,0.885073384122391,0.997330943709495,12,50,1000,3
bw,3,0.01,-6.30288280280996,-14.0582896976537,3901.98106511412,-106854.369075027,0.487430630046313,0.987150662372328,12,50,1000,3
bw,3,0.05,-5.74728969856158,16.5913287618396,693.176804012063,,0.631373810561272,0.99562562623751,12,50,1000,2
bw,3,0.1,-5.47561130080173,26.3569498617702,488.689220507249,,1.08751992024845,0.995507295413152,12,50,1000,2
bw,4,0.01,-6.60012715119281,-11.6110547123675,1715.4795467411,,0.674913993610848,0.981856662309915,12,50,1000,2
bw,4,0.05,-6.10198414305515,31.7239975098151,-1737.91538514451,84194.3578009927,0.879010043529546,0.991000131149075,12,50,1000,3
bw,4,0.1,-5.82610492013155,33.8969593940399,-1050.370136025,53922.2271121184,0.726786494395004,0.996969964342736,12,50,1000,3
bw,5,0.01,-6.96560034300513,10.0308504625222,431.336605674003,,0.961563983354596,0.90086108571292,12,50,1000,2
bw,5,0.05,-6.39410831053865,14.9180598474391,695.047436536074,,1.36348952370976,0.980993997771436,12,50,1000,2
bw,5,0.1,-6.12951663845153,23.8609694044573,564.558904869833,,1.15914524138008,0.992707175915674,12,50,1000,2
bw,6,0.01,-7.24697490472374,-7.24722646474994,1047.39131315084,,0.941127255539555,0.832324304378263,12,50,1000,2
bw,6,0.05,-6.71368560335005,28.4393280281533,-1317.14198979763,58226.5359480675,0.553806185639092,0.995056504763523,12,50,1000,3
bw,6,0.1,-6.41393562162112,21.5704915763534,431.03776045559,,1.26073322109553,0.988832740987526,12,50,1000,2
all,1,0.01,-7.37215800065783,219.881516752468,-14127.4965184546,403069.065071977,1.37743285258844,0.992648452134863,12,50,1000,3
all,1,0.05,-6.85778252991846,264.893411258943,-18415.1460456824,541128.346353878,2.08911020124211,0.99656502911255,12,50,1000,3
all,1,0.1,-6.58993490730415,262.737642669226,-16913.9701420028,486105.932569259,2.53397626545924,0.997607607968208,12,50,1000,3
