"case","r0","criterion","normalization","test","stat","win_start","win_end","cv1","cv5","cv10","pvalue"
"ct",0.15,"AIC","temp on sl","FIEG",-5.21965223816144,1880,1992,NA,NA,NA,NA
"ct",0.15,"AIC","temp on sl","BIEG",-6.07274839538018,1961,2019,NA,NA,NA,NA
"ct",0.15,"AIC","temp on sl","GIEG",-7.41430000144142,1947,1967,NA,NA,NA,NA
"ct",0.15,"AIC","sl on temp","FIEG",-4.04794186979604,1880,1945,NA,NA,NA,NA
"ct",0.15,"AIC","sl on temp","BIEG",-4.80765475357177,1993,2019,NA,NA,NA,NA
"ct",0.15,"AIC","sl on temp","GIEG",-5.47658233536814,1920,1999,NA,NA,NA,NA
"ct",0.2,"BIC","temp on sl","FIEG",-5.6202737553751,1880,2019,NA,NA,NA,NA
"ct",0.2,"BIC","temp on sl","BIEG",-6.21256516895812,1967,2019,NA,NA,NA,NA
"ct",0.2,"BIC","temp on sl","GIEG",-6.48427188803393,1946,1973,NA,NA,NA,NA
"ct",0.2,"BIC","sl on temp","FIEG",-4.04794186979604,1880,1945,NA,NA,NA,NA
"ct",0.2,"BIC","sl on temp","BIEG",-4.03076352420309,1992,2019,NA,NA,NA,NA
"ct",0.2,"BIC","sl on temp","GIEG",-5.47658233536814,1920,1999,NA,NA,NA,NA
"ct",0.2,"AIC","temp on sl","FIEG",-5.21965223816144,1880,1992,NA,NA,NA,NA
"ct",0.2,"AIC","temp on sl","BIEG",-6.07274839538018,1961,2019,NA,NA,NA,NA
"ct",0.2,"AIC","temp on sl","GIEG",-6.48427188803393,1946,1973,NA,NA,NA,NA
"ct",0.2,"AIC","sl on temp","FIEG",-4.04794186979604,1880,1945,NA,NA,NA,NA
"ct",0.2,"AIC","sl on temp","BIEG",-4.03076352420309,1992,2019,NA,NA,NA,NA
"ct",0.2,"AIC","sl on temp","GIEG",-5.47658233536814,1920,1999,NA,NA,NA,NA
